,epoch,train_loss,train_av_acc,val_av_acc,val_av_iou,val_auc,iou_0,iou_1,auc_0,auc_1
0,1.0,0.766524008601904,0.8111446092128753,0.92032,0.7718398106819235,0.9616984136702438,0.9074155841137784,0.6362640372500685,0.9616984136702437,0.9616984136702439
1,2.0,0.3854430441856384,0.930416478395462,0.96194,0.8716825214938129,0.9879444561415953,0.9556823474615743,0.7876826955260515,0.9879444417263743,0.9879444705568164
2,3.0,0.28854173532128335,0.9536488763093949,0.97918,0.9472270914899057,0.9956638302540025,0.9723733446564582,0.9220808383233533,0.995663829183558,0.995663831324447
3,4.0,0.26017599138617514,0.9578269095420837,0.98912,0.96710801931515,0.9957583389957987,0.9864433811802232,0.9477726574500768,0.9957617511565781,0.9957549268350192
4,5.0,0.2467064870595932,0.9620638122558594,0.98112,0.9475993576175136,0.9959232971863488,0.9759514953890049,0.9192472198460222,0.9959232966087747,0.9959232977639227
5,6.0,0.24546649573743343,0.962213076710701,0.9843,0.8907304948346288,0.9920922657586183,0.9832604755304404,0.7982005141388174,0.9920919808705477,0.9920925506466889
6,7.0,0.21358847436308862,0.9693579767942428,0.9644,0.8923793442388785,0.9775096066595537,0.9570556587613694,0.8277030297163875,0.9775096085671307,0.9775096047519767
7,8.0,0.2075753767043352,0.970895578622818,0.96828,0.894109853347872,0.9938525653593837,0.9626779621131898,0.8255417445825541,0.9938526090681818,0.9938525216505856
8,9.0,0.210763571113348,0.9698518464565277,0.98382,0.938288234938,0.992203164498727,0.981220112354334,0.895356357521666,0.9922031661033289,0.9922031628941252
9,10.0,0.1986097811460495,0.9731594108343125,0.9921,0.9529913805107335,0.9920439445396794,0.9913697043850641,0.9146130566364029,0.992043928885712,0.9920439601936468
10,11.0,0.20259519676864146,0.9718204108476639,0.98034,0.8851790648688354,0.9895924481385057,0.9787532961570051,0.7916048335806657,0.9895923507508633,0.9895925455261482
11,12.0,0.19925204868614674,0.9724895429611206,0.9751,0.9065505750872427,0.9951203611506743,0.9712968299711816,0.8418043202033036,0.9951315508777668,0.9951091714235818
12,13.0,0.1971935903131962,0.973489009976387,0.96474,0.9184232585044529,0.9957816417158829,0.951557949112491,0.8852885678964149,0.995784058617643,0.9957792248141227
13,14.0,0.19382420819997787,0.9737351768016815,0.97434,0.9354044097102407,0.9969415210207005,0.9660716646833267,0.9047371547371548,0.9969415194084209,0.9969415226329802
14,15.0,0.19386018891632556,0.9729538761377334,0.92844,0.8491580052041796,0.9946069029213263,0.9002119589468988,0.7981040514614604,0.9946082997361305,0.9946055061065219
